voter_id,class_0_probability,class_1_probability,class_2_probability
9038e4d9fbb3a71c09024035451d9aadd559e7a46ef09429ef1b64355cc8247f,0.8072925,0.1431412,0.04956626
92222cbe5f87b69f51ec05a33672cf7b2bbb02c4baa67dbc3d0a721c2baf7137,0.44504377,0.39699584,0.15796034
924318d82b72f8c87380d88923f85b2e18465c883095ee0dd2f0dcc2720b33c8,0.8306485,0.15398033,0.015371102
944051bfe8194856d7f5d32475191698e0056c9abdb0036d04e774929819ce7b,0.16084826,0.80350405,0.035647683
9869cd48da526df2f7dd0e7c7d2beb06537bfeba1f57f678df3729a4c906ab92,0.26956767,0.6633783,0.067054026
99c9709c01b692b45c66ee3d30c41a2316dd4f63459f1e242122594351d3b8e9,0.21774596,0.75861156,0.0236425
9a12be321485eb8fc032c90003f901690fb7853b50c8eb42ac3c7990c8d83ad0,0.12682946,0.82357556,0.049594972
9bc5960f9748e7d2af2c340be43d434f426c8c08ea210265f8aa8067f9df259e,0.39285272,0.56898797,0.038159344
9e7f0de96efe2430ea1d1362f580e11bb79fd20691a615c86f24143f86c5d88e,0.805004,0.18664116,0.008354802
9f4bec4fec45acb3cce82fd44008a276f3c064c7eae879b22a2babd732315d7b,0.14516369,0.74035597,0.11448036
a070a300f1bfa90e06013c2ba0f34b59ff312637478cd132386d7a62ec22a50c,0.90603185,0.072004914,0.021963358
a56f5761f3cf0dce386b4f151924855a10089f2d7725e9b8dff5168f51d4d983,0.5439875,0.42553613,0.030476311
a7ff0e27c35921d60605af61f2b0f82c57288fe9471b0c604ae3737aded5ebc4,0.00028676866,0.98043835,0.019274794
b5c2f8e9880010d69e8e4bc8c65779732a5979459cc2713bd915e5246ccf2204,0.994922,0.0038578655,0.0012201407
b6bc2fd60fdd63481901e02ce3e656e99670aecde1be923bbfc2034b2886d80c,0.658584,0.31531155,0.026104486
ba8529bd20774ba539c423f7dd07a7ce0b6923f1d7536d6ee092f63e10b05cb4,0.7128852,0.2589371,0.028177734
bce6ed02ac3113d53395dfbfd5a440fea9ee4fd0d8ffc844543d4b7f4995aef3,0.36061746,0.6276332,0.0117493225
